conf_dir: /tmp/tmplsa6jtaf/eam-apex-joint-k0f95/confs/fcc-Al-eos-00--post/workdir/tmp/inputs/artifacts/input_all/tmp/tmpj3mjn4bv/confs/fcc-Al/eos_00
 VpA(A^3)  EpA(eV)
  9.832   -1.6789 
 10.652   -2.2373 
 11.471   -2.6350 
 12.290   -2.9146 
 13.110   -3.1065 
 13.929   -3.2328 
 14.748   -3.3096 
 15.568   -3.3492 
 16.387   -3.3607 
 17.206   -3.3512 
 18.026   -3.3261 
 18.845   -3.2894 
 19.664   -3.2443 
 20.484   -3.1931 
 21.303   -3.1376 
 22.123   -3.0791 
