conf_dir: /tmp/tmp94dcbzsl/vasp-apex-joint-r4qhb/confs/fcc-Al-eos-00--post/workdir/tmp/inputs/artifacts/input_all/tmp/tmpa3sb6uz4/confs/fcc-Al/eos_00
 VpA(A^3)  EpA(eV)
  9.883   -2.1550 
 10.707   -2.6818 
 11.530   -3.0559 
 12.354   -3.3209 
 13.177   -3.5034 
 14.001   -3.6234 
 14.825   -3.6965 
 15.648   -3.7355 
 16.472   -3.7468 
 17.295   -3.7377 
 18.119   -3.7124 
 18.942   -3.6772 
 19.766   -3.6336 
 20.590   -3.5841 
 21.413   -3.5319 
 22.237   -3.4756 
