conf_dir: /tmp/tmpeb72srtw/lammps-apex-joint-ffmh4/confs/fcc-Al-eos-00--post/workdir/tmp/inputs/artifacts/input_all/tmp/tmpsna7pkf_/confs/fcc-Al/eos_00
 VpA(A^3)  EpA(eV)
  9.868   -2.6018 
 10.691   -2.8770 
 11.513   -3.0424 
 12.336   -3.3051 
 13.158   -3.4989 
 13.980   -3.6172 
 14.803   -3.6945 
 15.625   -3.7347 
 16.447   -3.7461 
 17.270   -3.7371 
 18.092   -3.7136 
 18.914   -3.6794 
 19.737   -3.6365 
 20.559   -3.5868 
 21.382   -3.5322 
 22.204   -3.4744 
