conf_dir: /tmp/tmpvbj_j_4o/meam-apex-joint-n488f/confs/fcc-Al-eos-00--post/workdir/tmp/inputs/artifacts/input_all/tmp/tmp13x1jd30/confs/fcc-Al/eos_00
 VpA(A^3)  EpA(eV)
  9.965   -1.5424 
 10.795   -2.1716 
 11.625   -2.6062 
 12.456   -2.9037 
 13.286   -3.1033 
 14.116   -3.2321 
 14.947   -3.3093 
 15.777   -3.3486 
 16.608   -3.3600 
 17.438   -3.3511 
 18.268   -3.3290 
 19.099   -3.2989 
 19.929   -3.2642 
 20.759   -3.2272 
 21.590   -3.1895 
 22.420   -3.1520 
